dates,ifrvalues
2021/01/01,0.010317885270189484
2021/01/02,0.009902172855191856
2021/01/04,0.009472997083724087
2021/01/08,0.008995312867035895
2021/01/10,0.008540781401196499
2021/01/11,0.008042355763731794
2021/01/15,0.00750782686661095
2021/01/16,0.006943228447652329
2021/01/18,0.00639033640407591
2021/01/21,0.005891318662714187
2021/01/24,0.005377820182558573
2021/01/27,0.004795229382823282
2021/01/31,0.004270095278191867
2021/02/04,0.0038372273146140556
2021/02/10,0.003372608155819759
2021/02/16,0.0029125442194802512
2021/02/26,0.002665263680170239
2021/03/08,0.0022990584706658324
2021/03/16,0.0019483517047055102
2021/03/26,0.0017721977990607946
2021/04/05,0.0017387747615829653
2021/04/15,0.0017561879901312766
2021/04/26,0.0018123700642999896
2021/05/05,0.001939990118465934
2021/05/16,0.0019938859055382355
2021/05/26,0.0018667045787922783
2021/05/29,0.0016452428365536266
2021/06/03,0.0020034781488398323
2021/06/08,0.0014685234821044356
2021/06/17,0.0014528318804239576
2021/06/19,0.0010677587499774502
2021/06/29,0.0013941753195385632
2021/07/09,0.0013837863691137427
2021/07/16,0.0018603256349727908
2021/07/25,0.0021979945381681663
2021/07/30,0.002801566386854972
2021/08/06,0.0033260202273536297
2021/08/11,0.004004944732290983
2021/08/15,0.004539347662909966
2021/08/21,0.00438297003709111
2021/08/21,0.005005802803583065
2021/08/25,0.0056327407243452286
2021/08/27,0.006243100674917793
2021/08/28,0.006682217915277464
